Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Total employed,"161,346","5,661","14,172","35,595","36,197","32,039","26,405","11,276",42.2
,,,,,,,,,
"Management,  professional, and related occupations","70,744",559,"3,804","16,094","17,838","15,602","11,815","5,031",43.5
"Management, business, and financial operations occupations","30,602",134,"1,163","5,964","7,853","7,316","5,776","2,395",45.3
Management occupations,"20,657",91,639,"3,514","5,329","5,262","4,077","1,745",46.4
Chief executives,"1,728",1,10,129,370,509,489,218,52.2
General and operations managers,"1,440",3,33,312,412,355,256,70,44.2
Legislators,15,0,1,2,4,2,3,3,–
Advertising and promotions managers,54,0,1,19,13,9,8,4,39.4
Marketing managers,513,4,26,165,147,98,60,13,39.5
Sales managers,555,0,12,96,160,149,110,26,45.8
Public relations and fundraising managers,149,2,8,45,43,29,17,6,40.7
Administrative services managers,87,0,2,11,24,22,23,6,47.2
Facilities managers,142,1,5,14,30,32,48,11,50.7
Computer and information systems managers,732,0,4,92,236,217,153,31,47.0
Financial managers,"1,445",1,34,294,404,352,277,84,44.9
Compensation and benefits managers,13,0,1,1,3,3,5,0,–
Human resources managers,306,0,6,55,105,71,57,13,44.6
Training and development managers,62,0,3,16,20,9,9,5,43.1
Industrial production managers,290,1,8,41,80,88,63,10,47.0
Purchasing managers,221,0,4,40,67,47,47,16,45.5
"Transportation, storage, and distribution managers",380,1,11,94,91,101,67,16,43.7
"Farmers, ranchers, and other agricultural managers",858,9,32,94,133,137,178,276,55.8
Construction managers,"1,251",4,40,266,339,290,229,82,44.5
Education and childcare administrators,"1,006",3,30,139,258,357,165,55,46.2
Architectural and engineering managers,201,0,0,26,58,56,40,21,47.0
Food service managers,"1,192",33,139,277,273,246,158,66,40.8
Funeral home managers,14,0,0,3,2,2,3,4,–
Entertainment and recreation managers,72,2,8,9,20,17,7,9,43.8
Lodging managers,129,1,6,21,33,25,30,14,46.8
Medical and health services managers,824,0,14,143,215,225,171,56,46.7
Natural sciences managers,53,0,7,19,11,8,8,0,36.2
Postmasters and mail superintendents,23,0,0,5,5,10,3,1,–
"Property, real estate, and community association managers",790,3,28,126,172,171,159,131,49.2
Social and community service managers,493,6,18,87,119,133,89,43,46.7
Emergency management directors,18,0,0,4,8,2,1,1,–
"Personal service managers, all other",11,1,1,0,4,2,1,1,–
"Managers, all other","5,591",14,149,870,"1,473","1,489","1,142",453,47.0
Business and financial operations occupations,"9,945",44,524,"2,450","2,524","2,053","1,699",651,43.1
"Agents and business managers of artists, performers, and athletes",42,0,2,12,11,6,6,5,–
"Buyers and purchasing agents, farm products",9,0,1,4,1,1,2,0,–
"Wholesale and retail buyers, except farm products",171,2,10,35,37,37,34,16,45.6
"Purchasing agents, except wholesale, retail, and farm products",278,1,12,60,62,62,59,21,46.0
"Claims adjusters, appraisers, examiners, and investigators",382,1,10,77,127,87,64,16,43.8
Compliance officers,311,0,9,66,76,78,59,24,46.1
Cost estimators,148,1,11,31,40,29,24,12,42.4
Human resources workers,944,2,46,269,278,177,138,34,41.1
"Compensation, benefits, and job analysis specialists",46,0,5,11,11,12,7,0,–
Training and development specialists,155,2,7,40,43,30,25,8,43.1
Logisticians,193,0,17,53,52,41,24,6,40.6
Project management specialists,966,0,20,223,293,228,162,39,43.0
Management analysts,"1,099",4,38,254,257,219,201,125,45.5
"Meeting, convention, and event planners",145,2,16,45,32,24,15,9,39.2
Fundraisers,76,1,3,16,25,11,17,5,44.7
Market research analysts and marketing specialists,632,7,89,216,153,84,66,16,36.4
"Business operations specialists, all other",717,11,43,165,188,145,119,46,42.9
Accountants and auditors,"1,778",1,96,429,393,397,338,126,44.4
Property appraisers and assessors,80,1,3,12,11,17,25,12,52.4
Budget analysts,49,0,0,12,16,10,10,1,–
Credit analysts,40,0,4,13,8,7,7,0,–
Financial and investment analysts,406,1,31,136,88,80,54,16,39.1
Personal financial advisors,528,0,19,119,135,105,94,56,44.6
Insurance underwriters,124,0,5,28,28,30,18,14,46.0
Financial examiners,23,0,1,3,10,4,2,4,–
Credit counselors and loan officers,313,6,7,58,90,75,67,10,44.4
"Tax examiners and collectors, and revenue agents",45,0,2,3,13,13,10,3,–
Tax preparers,113,0,7,31,16,16,23,19,46.9
Other financial specialists,132,0,11,28,29,29,27,8,44.9
Professional and related occupations,"40,142",425,"2,641","10,130","9,985","8,287","6,040","2,635",42.2
Computer and mathematical occupations,"6,386",27,408,"1,875","1,712","1,266",886,212,40.7
Computer and information research scientists,36,1,8,9,9,6,3,0,–
Computer systems analysts,547,1,46,158,136,98,84,24,41.0
Information security analysts,243,1,15,70,61,58,28,10,40.5
Computer programmers,334,3,21,74,88,74,60,14,43.0
Software developers,"2,077",3,129,742,567,366,230,40,38.8
Software quality assurance analysts and testers,82,0,4,29,22,12,12,4,40.6
Web developers,54,0,5,18,12,11,7,0,40.5
Web and digital interface designers,96,0,3,34,32,14,10,2,39.3
Computer support specialists,633,1,47,160,175,121,97,32,41.7
Database administrators and architects,148,1,4,50,38,30,21,4,40.8
Network and computer systems administrators,154,0,7,26,42,38,37,5,45.4
Computer network architects,139,0,2,20,51,43,17,6,45.1
"Computer occupations, all other","1,188",10,72,280,283,290,207,47,43.2
Actuaries,36,0,4,15,10,3,3,2,–
Mathematicians,5,0,0,1,1,2,0,1,–
Operations research analysts,176,2,5,39,54,39,30,8,42.9
Statisticians,70,0,4,21,20,14,11,0,40.7
Other mathematical science occupations,369,4,35,130,112,49,28,12,37.1
Architecture and engineering occupations,"3,552",17,228,983,796,673,637,218,42.2
"Architects, except landscape and naval",209,0,7,49,42,51,38,22,45.6
Landscape architects,18,0,1,5,6,4,1,1,–
"Surveyors, cartographers, and photogrammetrists",48,0,2,8,16,7,10,4,–
Aerospace engineers,182,0,14,56,39,32,27,14,41.5
Agricultural engineers,2,0,0,1,1,0,0,0,–
Bioengineers and biomedical engineers,25,0,0,12,4,6,2,0,–
Chemical engineers,79,0,5,27,15,11,18,2,39.8
Civil engineers,523,1,51,145,113,89,96,28,41.5
Computer hardware engineers,85,0,5,25,21,12,19,4,42.7
Electrical and electronics engineers,266,0,14,70,59,63,40,20,42.9
Environmental engineers,33,0,3,7,11,1,8,3,–
"Industrial engineers, including health and safety",268,1,16,87,62,45,49,9,40.3
Marine engineers and naval architects,20,0,5,3,2,5,4,0,–
Materials engineers,48,0,3,10,16,7,9,3,–
Mechanical engineers,389,1,23,128,84,73,61,20,40.4
"Mining and geological engineers, including mining safety engineers",7,0,1,3,3,0,0,0,–
